"language","program","status","lang_type","execution_model","source_implemented","ran","source_dir","source_file","toolchain","compiler_or_front_end","compile_backend","runtime_backend","source_bytes","source_gzip_bytes","compile_time_ms","compile_cpu_ms","compile_cpu_pct","compile_peak_ws_kb","exec_startup_ms","exec_time_ms","exec_cpu_ms","exec_cpu_pct","exec_peak_ws_kb","exe_bytes","exe_upx_bytes","runtime_dep_bytes","exe_plus_deps_bytes","requested_as","requested_tool","listed_as","notes"
"HolyC (gcc)","prime_sieve","implemented","compiled","transpiled AOT","yes","yes","examples\holyc","examples\holyc\prime_sieve.HC","hcc + MinGW-w64 gcc 13.2.0","hcc --no-run -O2; gcc -O2","GCC","native","619","296","263.3","","","","4.5","5.2","","","","64193","","","","HolyC","hcc","","Windows HolyC→C then gcc -O2; LSD radix 4x8; rerun median n=5 samples=[5.9, 5.2, 5.0, 5.0, 5.2]"
"HolyC (gcc)","sorting","implemented","compiled","transpiled AOT","yes","yes","examples\holyc","examples\holyc\sorting.HC","hcc + MinGW-w64 gcc 13.2.0","hcc --no-run -O2; gcc -O2","GCC","native","1279","522","263.6","","","","4.5","10.6","","","","64046","","","","HolyC","hcc","","Windows HolyC→C then gcc -O2; LSD radix 4x8; rerun median n=5 samples=[12.1, 10.8, 10.6, 10.5, 10.3]"
"HolyC (MSVC)","hello","implemented","compiled","transpiled AOT","yes","yes","examples\holyc","examples\holyc\hello.HC","hcc + MSVC cl 19.44","hcc --no-run -O2; cl /O2","MSVC C1/C2","native","48","67","194.6","","","","3.8","3.8","","","","140288","","","","HolyC","hcc","","Windows HolyC→C then cl /O2; LSD radix 4x8; rerun median n=5 samples=[5.0, 3.8, 5.8, 3.7, 3.5]"
"HolyC (MSVC)","fibonacci","implemented","compiled","transpiled AOT","yes","yes","examples\holyc","examples\holyc\fibonacci.HC","hcc + MSVC cl 19.44","hcc --no-run -O2; cl /O2","MSVC C1/C2","native","186","139","193.6","","","","3.8","3.8","","","","139776","","","","HolyC","hcc","","Windows HolyC→C then cl /O2; LSD radix 4x8; rerun median n=5 samples=[4.6, 3.9, 3.8, 3.6, 3.6]"
"HolyC (MSVC)","prime_sieve","implemented","compiled","transpiled AOT","yes","yes","examples\holyc","examples\holyc\prime_sieve.HC","hcc + MSVC cl 19.44","hcc --no-run -O2; cl /O2","MSVC C1/C2","native","619","296","198.0","","","","3.8","4.9","","","","140288","","","","HolyC","hcc","","Windows HolyC→C then cl /O2; LSD radix 4x8; rerun median n=5 samples=[6.3, 4.7, 4.9, 5.0, 4.8]"
"HolyC (MSVC)","sorting","implemented","compiled","transpiled AOT","yes","yes","examples\holyc","examples\holyc\sorting.HC","hcc + MSVC cl 19.44","hcc --no-run -O2; cl /O2","MSVC C1/C2","native","1279","522","205.8","","","","3.8","10.7","","","","140800","","","","HolyC","hcc","","Windows HolyC→C then cl /O2; LSD radix 4x8; rerun median n=5 samples=[11.6, 10.9, 10.7, 10.6, 10.4]"
"Mojo (AOT)","hello","implemented","compiled","AOT native","yes","yes","examples\mojo","examples\mojo\hello.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo build","MLIR/LLVM","native (Linux ELF via WSL2)","39","57","2155","","","","9.5","9.5","","","","18000","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); AOT `mojo build`; LSD radix 4x8; rerun median n=5 samples=[13.4, 10.2, 9.2, 9.5, 9.5]"
"Mojo (AOT)","fibonacci","implemented","compiled","AOT native","yes","yes","examples\mojo","examples\mojo\fibonacci.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo build","MLIR/LLVM","native (Linux ELF via WSL2)","155","112","1184","","","","9.5","9.6","","","","20880","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); AOT `mojo build`; LSD radix 4x8; rerun median n=5 samples=[10.8, 12.9, 9.6, 9.5, 8.9]"
"Mojo (AOT)","prime_sieve","implemented","compiled","AOT native","yes","yes","examples\mojo","examples\mojo\prime_sieve.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo build","MLIR/LLVM","native (Linux ELF via WSL2)","720","322","1110","","","","9.5","11.0","","","","27016","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); AOT `mojo build`; LSD radix 4x8; rerun median n=5 samples=[12.2, 11.0, 12.3, 10.3, 10.3]"
"Mojo (AOT)","sorting","implemented","compiled","AOT native","yes","yes","examples\mojo","examples\mojo\sorting.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo build","MLIR/LLVM","native (Linux ELF via WSL2)","1398","494","1345","","","","9.5","18.3","","","","28072","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); AOT `mojo build`; LSD radix 4x8; rerun median n=5 samples=[18.3, 19.1, 20.6, 16.4, 17.5]"
"Mojo (run)","hello","implemented","compiled","compile-and-run","yes","yes","examples\mojo","examples\mojo\hello.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo run","MLIR/LLVM","native (Linux ELF via WSL2)","39","57","","","","","929.2","929.2","","","","","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); cold `mojo run` compiles every process; rerun median n=5 samples=[929.2, 878.9, 957.8, 971.2, 897.6]"
"Mojo (run)","fibonacci","implemented","compiled","compile-and-run","yes","yes","examples\mojo","examples\mojo\fibonacci.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo run","MLIR/LLVM","native (Linux ELF via WSL2)","155","112","","","","","929.2","951.8","","","","","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); cold `mojo run` compiles every process; rerun median n=5 samples=[951.8, 1013.9, 1075.4, 817.4, 862.6]"
"Mojo (run)","prime_sieve","implemented","compiled","compile-and-run","yes","yes","examples\mojo","examples\mojo\prime_sieve.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo run","MLIR/LLVM","native (Linux ELF via WSL2)","720","322","","","","","929.2","940.1","","","","","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); cold `mojo run` compiles every process; rerun median n=5 samples=[983.9, 925.3, 909.2, 940.1, 1049.8]"
"Mojo (run)","sorting","implemented","compiled","compile-and-run","yes","yes","examples\mojo","examples\mojo\sorting.mojo","Mojo 1.0.0 (Ubuntu 24.04 WSL2)","mojo run","MLIR/LLVM","native (Linux ELF via WSL2)","1398","494","","","","","929.2","930.0","","","","","","","","Mojo","mojo","","open-source Mojo 1.0; timed inside Ubuntu 24.04 WSL2 (not wsl.exe spawn); cold `mojo run` compiles every process; rerun median n=5 samples=[942.7, 942.4, 930.0, 884.7, 899.9]"
"Lean 4","hello","implemented","compiled","AOT native","yes","yes","examples\lean","examples\lean\hello.lean","Lean 4.33.1 (elan stable, Linux x86_64)","lake build","Lean → C (leanc/clang)","native (Linux ELF)","51","69","1088.6","","","","2.6","2.6","","","13344","4074960","1112309","","4074960","Lean","lake","","Lean 4 AOT via lake; ByteArray sieve; LSD radix 4x8 packed UInt32 in ByteArray; timed on Linux NixOS, same i9-13900K as the Windows rows (local clang -O2 C sieve 4.3ms / sort 12.6ms); gzip -9 not UPX; rerun median n=5 samples=[2.8, 2.6, 2.3, 1.9, 2.7]"
"Lean 4","fibonacci","implemented","compiled","AOT native","yes","yes","examples\lean","examples\lean\fibonacci.lean","Lean 4.33.1 (elan stable, Linux x86_64)","lake build","Lean → C (leanc/clang)","native (Linux ELF)","215","158","1119.3","","","","2.6","2.5","","","13740","4079520","1115164","","4079520","Lean","lake","","Lean 4 AOT via lake; ByteArray sieve; LSD radix 4x8 packed UInt32 in ByteArray; timed on Linux NixOS, same i9-13900K as the Windows rows (local clang -O2 C sieve 4.3ms / sort 12.6ms); gzip -9 not UPX; rerun median n=5 samples=[2.5, 2.5, 2.7, 2.0, 2.2]"
"Lean 4","prime_sieve","implemented","compiled","AOT native","yes","yes","examples\lean","examples\lean\prime_sieve.lean","Lean 4.33.1 (elan stable, Linux x86_64)","lake build","Lean → C (leanc/clang)","native (Linux ELF)","677","306","1344.6","","","","2.6","24.9","","","13936","4084400","1119335","","4084400","Lean","lake","","Lean 4 AOT via lake; ByteArray sieve; LSD radix 4x8 packed UInt32 in ByteArray; timed on Linux NixOS, same i9-13900K as the Windows rows (local clang -O2 C sieve 4.3ms / sort 12.6ms); gzip -9 not UPX; rerun median n=5 samples=[24.9, 24.0, 29.1, 28.5, 24.6]"
"Lean 4","sorting","implemented","compiled","AOT native","yes","yes","examples\lean","examples\lean\sorting.lean","Lean 4.33.1 (elan stable, Linux x86_64)","lake build","Lean → C (leanc/clang)","native (Linux ELF)","2231","762","1722.7","","","","2.6","98.8","","","20980","4114768","1128986","","4114768","Lean","lake","","Lean 4 AOT via lake; ByteArray sieve; LSD radix 4x8 packed UInt32 in ByteArray; timed on Linux NixOS, same i9-13900K as the Windows rows (local clang -O2 C sieve 4.3ms / sort 12.6ms); gzip -9 not UPX; rerun median n=5 samples=[100.5, 97.5, 98.8, 96.3, 104.8]"
"Jai","hello","source_only","compiled","AOT native","yes","no","examples\jai","examples\jai\hello.jai","","jai -release","x64 / LLVM","native","63","81","","","","","","","","","","","","","","Jai","jai","not installed","Jai sources written; Jonathan Blow / Thekla compiler is still closed beta (not on this machine, not public). Place jai in tools/jai/bin/ or PATH and re-run this script. LSD radix 4x8; Byte-array sieve."
"Jai","fibonacci","source_only","compiled","AOT native","yes","no","examples\jai","examples\jai\fibonacci.jai","","jai -release","x64 / LLVM","native","176","139","","","","","","","","","","","","","","Jai","jai","not installed","Jai sources written; Jonathan Blow / Thekla compiler is still closed beta (not on this machine, not public). Place jai in tools/jai/bin/ or PATH and re-run this script. LSD radix 4x8; Byte-array sieve."
"Jai","prime_sieve","source_only","compiled","AOT native","yes","no","examples\jai","examples\jai\prime_sieve.jai","","jai -release","x64 / LLVM","native","561","274","","","","","","","","","","","","","","Jai","jai","not installed","Jai sources written; Jonathan Blow / Thekla compiler is still closed beta (not on this machine, not public). Place jai in tools/jai/bin/ or PATH and re-run this script. LSD radix 4x8; Byte-array sieve."
"Jai","sorting","source_only","compiled","AOT native","yes","no","examples\jai","examples\jai\sorting.jai","","jai -release","x64 / LLVM","native","1033","450","","","","","","","","","","","","","","Jai","jai","not installed","Jai sources written; Jonathan Blow / Thekla compiler is still closed beta (not on this machine, not public). Place jai in tools/jai/bin/ or PATH and re-run this script. LSD radix 4x8; Byte-array sieve."
"JavaScript (Bun)","hello","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\hello.js","Bun 1.2.2","bun","JavaScriptCore","JavaScriptCore","30","50","","","","","39.9","39.9","","","","111662592","","","","JavaScript","bun","","Zig runtime + JSC; same examples/javascript sources; rerun median n=5 samples=[43.3, 38.7, 38.3, 39.9, 42.0]"
"JavaScript (Bun)","fibonacci","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\fibonacci.js","Bun 1.2.2","bun","JavaScriptCore","JavaScriptCore","207","146","","","","","39.9","39.9","","","","111662592","","","","JavaScript","bun","","Zig runtime + JSC; same examples/javascript sources; rerun median n=5 samples=[39.9, 39.0, 39.4, 40.3, 42.8]"
"JavaScript (Bun)","prime_sieve","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\prime_sieve.js","Bun 1.2.2","bun","JavaScriptCore","JavaScriptCore","479","239","","","","","39.9","45.9","","","","111662592","","","","JavaScript","bun","","Zig runtime + JSC; same examples/javascript sources; rerun median n=5 samples=[45.9, 46.0, 46.7, 44.9, 45.3]"
"JavaScript (Bun)","sorting","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\sorting.js","Bun 1.2.2","bun","JavaScriptCore","JavaScriptCore","1042","445","","","","","39.9","55.3","","","","111662592","","","","JavaScript","bun","","Zig runtime + JSC; same examples/javascript sources; rerun median n=5 samples=[54.4, 55.3, 56.0, 54.9, 61.3]"
"JavaScript (Deno)","hello","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\hello.js","Deno 2.9.6","deno run --quiet --no-prompt","V8","V8 (rusty_v8)","30","50","","","","","52.9","52.9","","","","97316640","","","","JavaScript","deno","","Rust host + V8 15.0; same examples/javascript sources; rerun median n=5 samples=[56.2, 51.6, 53.0, 51.8, 52.9]"
"JavaScript (Deno)","fibonacci","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\fibonacci.js","Deno 2.9.6","deno run --quiet --no-prompt","V8","V8 (rusty_v8)","207","146","","","","","52.9","51.8","","","","97316640","","","","JavaScript","deno","","Rust host + V8 15.0; same examples/javascript sources; rerun median n=5 samples=[51.1, 51.4, 51.8, 53.7, 52.1]"
"JavaScript (Deno)","prime_sieve","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\prime_sieve.js","Deno 2.9.6","deno run --quiet --no-prompt","V8","V8 (rusty_v8)","479","239","","","","","52.9","57.4","","","","97316640","","","","JavaScript","deno","","Rust host + V8 15.0; same examples/javascript sources; rerun median n=5 samples=[58.2, 65.1, 56.7, 57.4, 56.8]"
"JavaScript (Deno)","sorting","implemented","interpreted","JIT","yes","yes","examples\javascript","examples\javascript\sorting.js","Deno 2.9.6","deno run --quiet --no-prompt","V8","V8 (rusty_v8)","1042","445","","","","","52.9","68.4","","","","97316640","","","","JavaScript","deno","","Rust host + V8 15.0; same examples/javascript sources; rerun median n=5 samples=[68.8, 68.4, 67.0, 68.4, 66.6]"
"JavaScript (QuickJS)","hello","implemented","interpreted","bytecode VM","yes","yes","examples\javascript","examples\javascript\hello.js","QuickJS-ng 0.16.2","qjs","QuickJS bytecode","qjs interpreter","30","50","","","","","5.3","5.3","","","","2149746","","","","JavaScript","qjs","","quickjs-ng Windows x64; same examples/javascript sources; rerun median n=5 samples=[7.9, 5.4, 5.0, 5.3, 5.2]"
"JavaScript (QuickJS)","fibonacci","implemented","interpreted","bytecode VM","yes","yes","examples\javascript","examples\javascript\fibonacci.js","QuickJS-ng 0.16.2","qjs","QuickJS bytecode","qjs interpreter","207","146","","","","","5.3","5.4","","","","2149746","","","","JavaScript","qjs","","quickjs-ng Windows x64; same examples/javascript sources; rerun median n=5 samples=[5.4, 5.2, 5.4, 5.5, 5.4]"
"JavaScript (QuickJS)","prime_sieve","implemented","interpreted","bytecode VM","yes","yes","examples\javascript","examples\javascript\prime_sieve.js","QuickJS-ng 0.16.2","qjs","QuickJS bytecode","qjs interpreter","479","239","","","","","5.3","115.8","","","","2149746","","","","JavaScript","qjs","","quickjs-ng Windows x64; same examples/javascript sources; rerun median n=5 samples=[115.7, 116.6, 115.7, 115.8, 116.2]"
"JavaScript (QuickJS)","sorting","implemented","interpreted","bytecode VM","yes","yes","examples\javascript","examples\javascript\sorting.js","QuickJS-ng 0.16.2","qjs","QuickJS bytecode","qjs interpreter","1042","445","","","","","5.3","548.7","","","","2149746","","","","JavaScript","qjs","","quickjs-ng Windows x64; same examples/javascript sources; rerun median n=5 samples=[548.1, 546.7, 548.7, 549.0, 549.0]"
"JavaScript (Boa)","hello","implemented","interpreted","interpreter","yes","yes","examples\javascript","examples\javascript\hello.js","Boa 0.22.0","boa","Boa VM","boa_engine (Rust)","30","50","","","","","9.2","9.2","","","","35119616","","","","JavaScript","boa","","Rust JS engine boa_cli 0.22; same examples/javascript sources; rerun median n=5 samples=[12.1, 9.1, 9.2, 9.2, 9.2]"
"JavaScript (Boa)","fibonacci","implemented","interpreted","interpreter","yes","yes","examples\javascript","examples\javascript\fibonacci.js","Boa 0.22.0","boa","Boa VM","boa_engine (Rust)","207","146","","","","","9.2","9.2","","","","35119616","","","","JavaScript","boa","","Rust JS engine boa_cli 0.22; same examples/javascript sources; rerun median n=5 samples=[8.8, 9.2, 8.9, 10.8, 9.2]"
"JavaScript (Boa)","prime_sieve","implemented","interpreted","interpreter","yes","yes","examples\javascript","examples\javascript\prime_sieve.js","Boa 0.22.0","boa","Boa VM","boa_engine (Rust)","479","239","","","","","9.2","190.8","","","","35119616","","","","JavaScript","boa","","Rust JS engine boa_cli 0.22; same examples/javascript sources; rerun median n=5 samples=[190.4, 191.6, 194.0, 190.4, 190.8]"
"JavaScript (Boa)","sorting","implemented","interpreted","interpreter","yes","yes","examples\javascript","examples\javascript\sorting.js","Boa 0.22.0","boa","Boa VM","boa_engine (Rust)","1042","445","","","","","9.2","1929.2","","","","35119616","","","","JavaScript","boa","","Rust JS engine boa_cli 0.22; same examples/javascript sources; rerun median n=5 samples=[1929.8, 1929.2, 1929.6, 1921.3, 1908.2]"
